Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
-1.000099176,-0.282345639,1.43702542,-1.704240293,0.995978844,1.205487783,1,1,-0.523913432,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
-1.000099176,-0.282345639,1.43702542,-1.919572846,1.909303699,0.572469079,1,1,0.078791269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
-1.000099176,0.555776854,0.540888814,0.638577892,-0.04322265,0.143170322,1,1,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
-1.000099176,0.555776854,0.540888814,-1.221895372,0.171118215,0.430255438,1,0,-0.523913432,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
-0.207332829,1.393899348,-1.251384397,-2.298558141,0.781637984,0.591544035,1,1,0.431350918,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
1.378199865,-0.282345639,-1.251384397,0.285432504,-1.238990347,-0.831443435,1,0,-1.320645707,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1
0.585433518,-1.120468133,0.540888814,1.008949885,-0.785036785,-0.942442687,1,1,0.431350918,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
-1.000099176,-0.282345639,1.43702542,-1.221895372,0.625071777,0.603811752,1,1,-0.968086059,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
0.585433518,0.555776854,-1.251384397,0.285432504,-1.824238275,-3.440577601,1,0,-0.523913432,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1
-0.207332829,0.555776854,-0.355247792,-0.369178459,0.030762111,0.473123648,1,0,0.078791269,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1
