Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
1,4,0,289,2.079181246,4.531478917,0,0,5.176091259,1,5,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1
2,1,2,441,1.707570176,3.606381365,1,0,4.77815125,1,5,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
2,0,3,361,1.982271233,3.301029996,0,1,4,1,4.698970004,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0
0,0,5,196,2.255272505,5.017033339,1,1,5.301029996,0,5.698970004,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
0,5,0,256,2,4.214843848,1,1,5.301029996,0,5.397940009,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
2,1,2,324,1.892094603,3.643452676,1,1,5,0,5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,3,1,256,2.198657087,4.079181246,0,1,4.477121255,0,5,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1
0,2,3,225,2.204119983,4.269512944,1,1,4.698970004,1,4.698970004,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
0,5,0,196,2.176091259,4.220108088,1,0,5,1,5.176091259,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0
2,3,0,225,2.164352856,4.274157849,1,0,5,0,5.176091259,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1
1,1,3,441,2.017033339,3.662757832,1,1,4.477121255,1,4.698970004,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
1,3,1,441,2.120573931,3.716003344,1,0,4.84509804,0,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1
